Date,Average of Water heights in meter,Station,Name of river,Subdistrict,District,Province
2022-01-02,3.91,Ban Luang Nuea,น้ำงาว,หลวงใต้,งาว,ลำปาง
2022-01-02,6.794166667,Ban Mae E Hi,น้ำแม่ลี้,ศรีวิชัย,ลี้,ลำพูน
2022-01-02,4.88,Ban Mae Kha Bridge,น้ำฝาง,แม่ข่า,ฝาง,เชียงใหม่
2022-01-02,5.26,Ban Mae Khom Mi Tamnak Tham,น้ำแม่คำมี,ตำหนักธรรม,หนองม่วงไข่,แพร่
2022-01-02,5.91125,Ban Mae Lai,น้ำแม่หล่าย,แม่หล่าย,เมือง,แพร่
2022-01-02,1.735416667,Ban Mae Tae,แม่น้ำปิง,แม่แฝกเก่า,สันทราย,เชียงใหม่
2022-01-02,2.45,Ban Mae Taeng,แม่น้ำแตง,สันมหาพล,แม่แตง,เชียงใหม่
2022-01-02,3.54,Ban Mae Wan,น้ำแม่กวง,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่
2022-01-02,5.24,Ban Mai Rim Fang,น้ำฝาง,เวียงฝาง,ฝาง,เชียงใหม่
2022-01-02,7.545833333,Ban Mang,น้ำปี้,มาง,เชียงม่วน,พะเยา
2022-01-02,5.71,Ban Muang Pok,น้ำแม่แตง,เปียงหลวง,เวียงแหง,เชียงใหม่
2022-01-02,4.365,Ban Mueang Kuet,น้ำแม่แตง,กึ๊ดช้าง,แม่แตง,เชียงใหม่
2022-01-02,2.456666667,Ban Mueang Mai,ห้วยแม่ต๋า,เมืองมาย,แจ้ห่ม,ลำปาง
2022-01-02,4.345416667,Ban Mueang Pha,น้ำแม่ริม,ริมเหนือ,แม่ริม,เชียงใหม่
2022-01-02,8.338333333,Ban Nam Khong,แม่น้ำยม,ป่าแมต,เมือง,แพร่
2022-01-02,6.0525,Ban Nam Yao,น้ำยาว,อวน,ปัว,น่าน
2022-01-02,1.652083333,Ban Nong Naw,น้ำแม่สอย,แจ้ห่ม,แจ้ห่ม,ลำปาง
2022-01-02,3.467916667,Ban Nong Pham,น้ำแม่ลาว,แม่สรวย,แม่สรวย,เชียงราย
2022-01-02,6.99,Ban Pa Kha,น้ำควร,ควร,ปง,พะเยา
2022-01-02,7.96,Ban Pa Khoi Tai,แม่น้ำปิง,สันผีเสื้อ,เมือง,เชียงใหม่
2022-01-02,4.75,Ban Pa Sang,น้ำแม่ทา,ป่าซาง,ป่าซาง,ลำพูน
2022-01-02,5.56,Ban Pang Sa,ห้วยน้ำยาว,ผาทอง,ท่าวังผา,น่าน
