Date,Water volume in dams (by %),Name of dam
2023-01-28,97.2,Mae Ngat Somboon Chon Dam
2023-01-28,63.22,Mae Mok Dam
2023-01-28,62.6,Sirikit Dam
2023-01-28,76.14,Kiew Lom Dam
2023-01-29,105.92,Kiew Kor Ma Dam
2023-01-29,74.65,Khwae Noi Bamrung Dan Dam
2023-01-29,82.13,Bhumibol Dam
2023-01-29,87.32,Mae Kuang Udom Thara Dam
2023-01-29,96.67,Mae Ngat Somboon Chon Dam
2023-01-29,62.71,Mae Mok Dam
2023-01-29,62.42,Sirikit Dam
2023-01-29,75.36,Kiew Lom Dam
2023-01-30,105.54,Kiew Kor Ma Dam
2023-01-30,74.01,Khwae Noi Bamrung Dan Dam
2023-01-30,81.9,Bhumibol Dam
2023-01-30,87.04,Mae Kuang Udom Thara Dam
2023-01-30,96.35,Mae Ngat Somboon Chon Dam
2023-01-30,62.2,Mae Mok Dam
2023-01-30,62.27,Sirikit Dam
2023-01-30,74.85,Kiew Lom Dam
2023-01-31,105.46,Kiew Kor Ma Dam
2023-01-31,73.59,Khwae Noi Bamrung Dan Dam
2023-01-31,81.65,Bhumibol Dam
2023-01-31,86.76,Mae Kuang Udom Thara Dam
2023-01-31,96.21,Mae Ngat Somboon Chon Dam
2023-01-31,61.7,Mae Mok Dam
2023-01-31,62.09,Sirikit Dam
2023-01-31,74.46,Kiew Lom Dam
2023-02-01,105.15,Kiew Kor Ma Dam
2023-02-01,73.06,Khwae Noi Bamrung Dan Dam
2023-02-01,81.41,Bhumibol Dam
2023-02-01,86.48,Mae Kuang Udom Thara Dam
2023-02-01,96.06,Mae Ngat Somboon Chon Dam
2023-02-01,60.99,Mae Mok Dam
2023-02-01,61.95,Sirikit Dam
2023-02-01,74.07,Kiew Lom Dam
2023-02-02,104.31,Kiew Kor Ma Dam
2023-02-02,72.63,Khwae Noi Bamrung Dan Dam
2023-02-02,81.21,Bhumibol Dam
2023-02-02,86.16,Mae Kuang Udom Thara Dam
2023-02-02,95.92,Mae Ngat Somboon Chon Dam
2023-02-02,60.16,Mae Mok Dam
2023-02-02,61.77,Sirikit Dam
2023-02-02,73.94,Kiew Lom Dam
2023-02-03,103.24,Kiew Kor Ma Dam
2023-02-03,72.1,Khwae Noi Bamrung Dan Dam
2023-02-03,80.98,Bhumibol Dam
2023-02-03,85.74,Mae Kuang Udom Thara Dam
2023-02-03,95.59,Mae Ngat Somboon Chon Dam
2023-02-03,59.34,Mae Mok Dam
2023-02-03,61.62,Sirikit Dam
2023-02-03,74.98,Kiew Lom Dam
2023-02-04,102.01,Kiew Kor Ma Dam
2023-02-04,71.67,Khwae Noi Bamrung Dan Dam
2023-02-04,80.75,Bhumibol Dam
2023-02-04,85.3,Mae Kuang Udom Thara Dam
2023-02-04,95.15,Mae Ngat Somboon Chon Dam
2023-02-04,58.51,Mae Mok Dam
2023-02-04,61.46,Sirikit Dam
2023-02-04,76.14,Kiew Lom Dam
2023-02-05,100.63,Kiew Kor Ma Dam
2023-02-05,71.25,Khwae Noi Bamrung Dan Dam
2023-02-05,80.52,Bhumibol Dam
2023-02-05,85.02,Mae Kuang Udom Thara Dam
2023-02-05,94.77,Mae Ngat Somboon Chon Dam
2023-02-05,57.68,Mae Mok Dam
2023-02-05,61.31,Sirikit Dam
2023-02-05,77.3,Kiew Lom Dam
2023-02-06,99.64,Kiew Kor Ma Dam
2023-02-06,70.82,Khwae Noi Bamrung Dan Dam
2023-02-06,80.3,Bhumibol Dam
2023-02-06,84.73,Mae Kuang Udom Thara Dam
2023-02-06,94.34,Mae Ngat Somboon Chon Dam
2023-02-06,56.85,Mae Mok Dam
2023-02-06,61.17,Sirikit Dam
2023-02-06,78.45,Kiew Lom Dam
2023-02-07,98.71,Kiew Kor Ma Dam
2023-02-07,70.5,Khwae Noi Bamrung Dan Dam
2023-02-07,80.07,Bhumibol Dam
2023-02-07,84.51,Mae Kuang Udom Thara Dam
2023-02-07,94.05,Mae Ngat Somboon Chon Dam
2023-02-07,56.15,Mae Mok Dam
2023-02-07,61.02,Sirikit Dam
2023-02-07,79.5,Kiew Lom Dam
2023-02-08,97.45,Kiew Kor Ma Dam
2023-02-08,70.07,Khwae Noi Bamrung Dan Dam
2023-02-08,79.86,Bhumibol Dam
2023-02-08,84.27,Mae Kuang Udom Thara Dam
2023-02-08,93.91,Mae Ngat Somboon Chon Dam
2023-02-08,55.47,Mae Mok Dam
2023-02-08,60.86,Sirikit Dam
2023-02-08,80.28,Kiew Lom Dam
2023-02-09,96.19,Kiew Kor Ma Dam
2023-02-09,69.65,Khwae Noi Bamrung Dan Dam
2023-02-09,79.62,Bhumibol Dam
2023-02-09,84.06,Mae Kuang Udom Thara Dam
2023-02-09,93.76,Mae Ngat Somboon Chon Dam
2023-02-09,54.82,Mae Mok Dam
2023-02-09,60.72,Sirikit Dam
2023-02-09,81.05,Kiew Lom Dam
2023-02-10,94.93,Kiew Kor Ma Dam
2023-02-10,69.22,Khwae Noi Bamrung Dan Dam
2023-02-10,79.34,Bhumibol Dam
2023-02-10,83.77,Mae Kuang Udom Thara Dam
2023-02-10,93.43,Mae Ngat Somboon Chon Dam
2023-02-10,54.05,Mae Mok Dam
2023-02-10,60.57,Sirikit Dam
2023-02-10,82.28,Kiew Lom Dam
2023-02-11,94.61,Kiew Kor Ma Dam
2023-02-11,68.9,Khwae Noi Bamrung Dan Dam
2023-02-11,79.09,Bhumibol Dam
2023-02-11,83.46,Mae Kuang Udom Thara Dam
2023-02-11,92.99,Mae Ngat Somboon Chon Dam
2023-02-11,53.29,Mae Mok Dam
2023-02-11,60.42,Sirikit Dam
2023-02-11,82.99,Kiew Lom Dam
2023-02-12,94.61,Kiew Kor Ma Dam
2023-02-12,68.48,Khwae Noi Bamrung Dan Dam
2023-02-12,78.84,Bhumibol Dam
2023-02-12,83.15,Mae Kuang Udom Thara Dam
2023-02-12,92.57,Mae Ngat Somboon Chon Dam
2023-02-12,52.53,Mae Mok Dam
2023-02-12,60.26,Sirikit Dam
2023-02-12,82.86,Kiew Lom Dam
2023-02-13,94.45,Kiew Kor Ma Dam
2023-02-13,68.16,Khwae Noi Bamrung Dan Dam
2023-02-13,78.6,Bhumibol Dam
2023-02-13,82.83,Mae Kuang Udom Thara Dam
2023-02-13,92.12,Mae Ngat Somboon Chon Dam
2023-02-13,51.76,Mae Mok Dam
2023-02-13,60.12,Sirikit Dam
2023-02-13,82.56,Kiew Lom Dam
2023-02-14,94.3,Kiew Kor Ma Dam
2023-02-14,67.73,Khwae Noi Bamrung Dan Dam
2023-02-14,78.32,Bhumibol Dam
2023-02-14,82.5,Mae Kuang Udom Thara Dam
2023-02-14,91.82,Mae Ngat Somboon Chon Dam
2023-02-14,51.11,Mae Mok Dam
2023-02-14,59.97,Sirikit Dam
2023-02-14,81.7,Kiew Lom Dam
2023-02-15,94.14,Kiew Kor Ma Dam
2023-02-15,67.2,Khwae Noi Bamrung Dan Dam
2023-02-15,78.08,Bhumibol Dam
2023-02-15,82.05,Mae Kuang Udom Thara Dam
2023-02-15,91.68,Mae Ngat Somboon Chon Dam
2023-02-15,51,Mae Mok Dam
2023-02-15,59.82,Sirikit Dam
2023-02-15,80.28,Kiew Lom Dam
2023-02-16,94.06,Kiew Kor Ma Dam
2023-02-16,66.77,Khwae Noi Bamrung Dan Dam
2023-02-16,77.83,Bhumibol Dam
2023-02-16,81.57,Mae Kuang Udom Thara Dam
2023-02-16,91.6,Mae Ngat Somboon Chon Dam
2023-02-16,50.89,Mae Mok Dam
2023-02-16,59.67,Sirikit Dam
2023-02-16,78.72,Kiew Lom Dam
2023-02-17,94.61,Kiew Kor Ma Dam
2023-02-17,66.24,Khwae Noi Bamrung Dan Dam
2023-02-17,77.59,Bhumibol Dam
2023-02-17,81.31,Mae Kuang Udom Thara Dam
2023-02-17,92.22,Mae Ngat Somboon Chon Dam
2023-02-17,50.78,Mae Mok Dam
2023-02-17,59.53,Sirikit Dam
2023-02-17,77.18,Kiew Lom Dam
2023-02-18,94.93,Kiew Kor Ma Dam
2023-02-18,65.71,Khwae Noi Bamrung Dan Dam
2023-02-18,77.34,Bhumibol Dam
2023-02-18,81.05,Mae Kuang Udom Thara Dam
2023-02-18,92.6,Mae Ngat Somboon Chon Dam
2023-02-18,50.67,Mae Mok Dam
2023-02-18,59.37,Sirikit Dam
2023-02-18,76.01,Kiew Lom Dam
2023-02-19,94.93,Kiew Kor Ma Dam
2023-02-19,65.28,Khwae Noi Bamrung Dan Dam
2023-02-19,77.11,Bhumibol Dam
2023-02-19,80.75,Mae Kuang Udom Thara Dam
2023-02-19,92.54,Mae Ngat Somboon Chon Dam
2023-02-19,50.56,Mae Mok Dam
2023-02-19,59.24,Sirikit Dam
2023-02-19,74.85,Kiew Lom Dam
2023-02-20,94.93,Kiew Kor Ma Dam
2023-02-20,64.75,Khwae Noi Bamrung Dan Dam
2023-02-20,76.89,Bhumibol Dam
2023-02-20,80.45,Mae Kuang Udom Thara Dam
2023-02-20,92.22,Mae Ngat Somboon Chon Dam
2023-02-20,50.45,Mae Mok Dam
2023-02-20,59.12,Sirikit Dam
2023-02-20,73.43,Kiew Lom Dam
2023-02-21,94.93,Kiew Kor Ma Dam
2023-02-21,64.22,Khwae Noi Bamrung Dan Dam
2023-02-21,76.67,Bhumibol Dam
2023-02-21,80.19,Mae Kuang Udom Thara Dam
2023-02-21,92.03,Mae Ngat Somboon Chon Dam
2023-02-21,50.35,Mae Mok Dam
2023-02-21,58.99,Sirikit Dam
2023-02-21,72.16,Kiew Lom Dam
2023-02-22,94.93,Kiew Kor Ma Dam
2023-02-22,63.79,Khwae Noi Bamrung Dan Dam
2023-02-22,76.42,Bhumibol Dam
2023-02-22,79.87,Mae Kuang Udom Thara Dam
2023-02-22,91.97,Mae Ngat Somboon Chon Dam
2023-02-22,50.25,Mae Mok Dam
2023-02-22,58.86,Sirikit Dam
2023-02-22,71.04,Kiew Lom Dam
2023-02-23,95.01,Kiew Kor Ma Dam
2023-02-23,63.37,Khwae Noi Bamrung Dan Dam
2023-02-23,76.18,Bhumibol Dam
2023-02-23,79.55,Mae Kuang Udom Thara Dam
2023-02-23,91.88,Mae Ngat Somboon Chon Dam
2023-02-23,50.15,Mae Mok Dam
2023-02-23,58.72,Sirikit Dam
2023-02-23,70.15,Kiew Lom Dam
2023-02-24,94.93,Kiew Kor Ma Dam
2023-02-24,62.51,Khwae Noi Bamrung Dan Dam
2023-02-24,75.92,Bhumibol Dam
2023-02-24,79.23,Mae Kuang Udom Thara Dam
2023-02-24,91.6,Mae Ngat Somboon Chon Dam
2023-02-24,50.05,Mae Mok Dam
2023-02-24,58.55,Sirikit Dam
2023-02-24,69.13,Kiew Lom Dam
2023-02-25,94.93,Kiew Kor Ma Dam
2023-02-25,61.77,Khwae Noi Bamrung Dan Dam
2023-02-25,75.65,Bhumibol Dam
2023-02-25,78.94,Mae Kuang Udom Thara Dam
2023-02-25,91.19,Mae Ngat Somboon Chon Dam
2023-02-25,49.95,Mae Mok Dam
2023-02-25,58.4,Sirikit Dam
2023-02-25,68.1,Kiew Lom Dam
2023-02-26,94.77,Kiew Kor Ma Dam
2023-02-26,61.02,Khwae Noi Bamrung Dan Dam
2023-02-26,75.39,Bhumibol Dam
2023-02-26,78.63,Mae Kuang Udom Thara Dam
2023-02-26,90.8,Mae Ngat Somboon Chon Dam
2023-02-26,49.85,Mae Mok Dam
2023-02-26,58.23,Sirikit Dam
2023-02-26,66.99,Kiew Lom Dam
2023-02-27,94.61,Kiew Kor Ma Dam
2023-02-27,60.06,Khwae Noi Bamrung Dan Dam
2023-02-27,75.13,Bhumibol Dam
2023-02-27,78.18,Mae Kuang Udom Thara Dam
2023-02-27,90.37,Mae Ngat Somboon Chon Dam
2023-02-27,49.25,Mae Mok Dam
2023-02-27,58.09,Sirikit Dam
2023-02-27,66.09,Kiew Lom Dam
2023-02-28,94.54,Kiew Kor Ma Dam
2023-02-28,59.74,Khwae Noi Bamrung Dan Dam
2023-02-28,74.89,Bhumibol Dam
2023-02-28,77.71,Mae Kuang Udom Thara Dam
2023-02-28,90.1,Mae Ngat Somboon Chon Dam
2023-02-28,48.65,Mae Mok Dam
2023-02-28,57.89,Sirikit Dam
2023-02-28,65.07,Kiew Lom Dam
2023-03-01,94.42,Kiew Kor Ma Dam
2023-03-01,59.42,Khwae Noi Bamrung Dan Dam
2023-03-01,74.63,Bhumibol Dam
2023-03-01,77.4,Mae Kuang Udom Thara Dam
2023-03-01,89.97,Mae Ngat Somboon Chon Dam
2023-03-01,48.05,Mae Mok Dam
2023-03-01,57.7,Sirikit Dam
2023-03-01,63.84,Kiew Lom Dam
2023-03-02,93.51,Kiew Kor Ma Dam
2023-03-02,59.11,Khwae Noi Bamrung Dan Dam
2023-03-02,74.39,Bhumibol Dam
2023-03-02,77.09,Mae Kuang Udom Thara Dam
2023-03-02,89.85,Mae Ngat Somboon Chon Dam
2023-03-02,47.45,Mae Mok Dam
2023-03-02,57.51,Sirikit Dam
2023-03-02,63.16,Kiew Lom Dam
2023-03-03,92.56,Kiew Kor Ma Dam
2023-03-03,58.47,Khwae Noi Bamrung Dan Dam
2023-03-03,74.15,Bhumibol Dam
2023-03-03,76.79,Mae Kuang Udom Thara Dam
2023-03-03,89.48,Mae Ngat Somboon Chon Dam
2023-03-03,46.85,Mae Mok Dam
2023-03-03,57.32,Sirikit Dam
2023-03-03,63.27,Kiew Lom Dam
2023-03-04,91.46,Kiew Kor Ma Dam
2023-03-04,58.25,Khwae Noi Bamrung Dan Dam
2023-03-04,73.89,Bhumibol Dam
2023-03-04,76.48,Mae Kuang Udom Thara Dam
2023-03-04,88.94,Mae Ngat Somboon Chon Dam
2023-03-04,46.25,Mae Mok Dam
2023-03-04,57.13,Sirikit Dam
2023-03-04,63.5,Kiew Lom Dam
2023-03-05,89.96,Kiew Kor Ma Dam
2023-03-05,57.61,Khwae Noi Bamrung Dan Dam
2023-03-05,73.64,Bhumibol Dam
2023-03-05,76.23,Mae Kuang Udom Thara Dam
2023-03-05,88.43,Mae Ngat Somboon Chon Dam
2023-03-05,45.65,Mae Mok Dam
2023-03-05,56.93,Sirikit Dam
2023-03-05,63.61,Kiew Lom Dam
2023-03-06,88.77,Kiew Kor Ma Dam
2023-03-06,57.4,Khwae Noi Bamrung Dan Dam
2023-03-06,73.4,Bhumibol Dam
2023-03-06,75.92,Mae Kuang Udom Thara Dam
2023-03-06,87.86,Mae Ngat Somboon Chon Dam
2023-03-06,45.09,Mae Mok Dam
2023-03-06,56.72,Sirikit Dam
2023-03-06,64.07,Kiew Lom Dam
2023-03-07,87.59,Kiew Kor Ma Dam
2023-03-07,56.98,Khwae Noi Bamrung Dan Dam
2023-03-07,73.16,Bhumibol Dam
2023-03-07,75.62,Mae Kuang Udom Thara Dam
2023-03-07,87.23,Mae Ngat Somboon Chon Dam
2023-03-07,44.55,Mae Mok Dam
2023-03-07,56.53,Sirikit Dam
2023-03-07,65.3,Kiew Lom Dam
2023-03-08,86.4,Kiew Kor Ma Dam
2023-03-08,56.66,Khwae Noi Bamrung Dan Dam
2023-03-08,72.92,Bhumibol Dam
2023-03-08,75.33,Mae Kuang Udom Thara Dam
2023-03-08,86.87,Mae Ngat Somboon Chon Dam
2023-03-08,44,Mae Mok Dam
2023-03-08,56.37,Sirikit Dam
2023-03-08,66.43,Kiew Lom Dam
2023-03-09,85.06,Kiew Kor Ma Dam
2023-03-09,56.23,Khwae Noi Bamrung Dan Dam
2023-03-09,72.69,Bhumibol Dam
2023-03-09,75.06,Mae Kuang Udom Thara Dam
2023-03-09,86.74,Mae Ngat Somboon Chon Dam
2023-03-09,43.45,Mae Mok Dam
2023-03-09,56.2,Sirikit Dam
2023-03-09,67.44,Kiew Lom Dam
2023-03-10,83.64,Kiew Kor Ma Dam
2023-03-10,55.91,Khwae Noi Bamrung Dan Dam
2023-03-10,72.46,Bhumibol Dam
2023-03-10,74.73,Mae Kuang Udom Thara Dam
2023-03-10,86.36,Mae Ngat Somboon Chon Dam
2023-03-10,42.91,Mae Mok Dam
2023-03-10,56.04,Sirikit Dam
2023-03-10,68.51,Kiew Lom Dam
2023-03-11,82.55,Kiew Kor Ma Dam
2023-03-11,55.27,Khwae Noi Bamrung Dan Dam
2023-03-11,72.2,Bhumibol Dam
2023-03-11,74.31,Mae Kuang Udom Thara Dam
2023-03-11,85.83,Mae Ngat Somboon Chon Dam
2023-03-11,42.36,Mae Mok Dam
2023-03-11,55.88,Sirikit Dam
2023-03-11,69.19,Kiew Lom Dam
2023-03-12,81.54,Kiew Kor Ma Dam
2023-03-12,54.95,Khwae Noi Bamrung Dan Dam
2023-03-12,71.94,Bhumibol Dam
2023-03-12,73.88,Mae Kuang Udom Thara Dam
2023-03-12,85.32,Mae Ngat Somboon Chon Dam
2023-03-12,41.82,Mae Mok Dam
2023-03-12,55.71,Sirikit Dam
2023-03-12,69.47,Kiew Lom Dam
2023-03-13,80.46,Kiew Kor Ma Dam
