Date,Water volume in dams (by %),Name of dam
2022-02-07,76.14,Khwae Noi Bamrung Dan Dam
2022-02-07,66.36,Mae Mok Dam
2022-02-08,53.41,Bhumibol Dam
2022-02-08,43.92,Sirikit Dam
2022-02-08,41.16,Mae Ngat Somboon Chon Dam
2022-02-08,33.95,Mae Kuang Udom Thara Dam
2022-02-08,72.19,Kiew Lom Dam
2022-02-08,76.28,Kiew Kor Ma Dam
2022-02-08,75.83,Khwae Noi Bamrung Dan Dam
2022-02-08,65.45,Mae Mok Dam
2022-02-09,53.25,Bhumibol Dam
2022-02-09,43.89,Sirikit Dam
2022-02-09,41.12,Mae Ngat Somboon Chon Dam
2022-02-09,33.98,Mae Kuang Udom Thara Dam
2022-02-09,72.91,Kiew Lom Dam
2022-02-09,75.63,Kiew Kor Ma Dam
2022-02-09,75.4,Khwae Noi Bamrung Dan Dam
2022-02-09,65.45,Mae Mok Dam
2022-02-10,53.11,Bhumibol Dam
2022-02-10,43.86,Sirikit Dam
2022-02-10,41.08,Mae Ngat Somboon Chon Dam
2022-02-10,33.99,Mae Kuang Udom Thara Dam
2022-02-10,73.57,Kiew Lom Dam
2022-02-10,74.98,Kiew Kor Ma Dam
2022-02-10,74.97,Khwae Noi Bamrung Dan Dam
2022-02-10,64.55,Mae Mok Dam
2022-02-11,52.96,Bhumibol Dam
2022-02-11,43.82,Sirikit Dam
2022-02-11,41.03,Mae Ngat Somboon Chon Dam
2022-02-11,34,Mae Kuang Udom Thara Dam
2022-02-11,74.07,Kiew Lom Dam
2022-02-11,74.26,Kiew Kor Ma Dam
2022-02-11,74.65,Khwae Noi Bamrung Dan Dam
2022-02-11,63.64,Mae Mok Dam
2022-02-12,52.82,Bhumibol Dam
2022-02-12,43.79,Sirikit Dam
2022-02-12,40.77,Mae Ngat Somboon Chon Dam
2022-02-12,34.01,Mae Kuang Udom Thara Dam
2022-02-12,74.68,Kiew Lom Dam
2022-02-12,73.5,Kiew Kor Ma Dam
2022-02-12,74.23,Khwae Noi Bamrung Dan Dam
