Date,Water volume in dams (by %),Name of dam
2021-01-21,52.85,Sirikit Dam
2021-01-21,50.92,Mae Ngat Somboon Chon Dam
2021-01-21,37.99,Mae Kuang Udom Thara Dam
2021-01-21,63.27,Kiew Lom Dam
2021-01-21,42.76,Kiew Kor Ma Dam
2021-01-21,41.12,Khwae Noi Bamrung Dan Dam
2021-01-21,37.93,Mae Mok Dam
2021-01-22,39.39,Bhumibol Dam
2021-01-22,52.69,Sirikit Dam
2021-01-22,50.67,Mae Ngat Somboon Chon Dam
2021-01-22,37.89,Mae Kuang Udom Thara Dam
2021-01-22,63.21,Kiew Lom Dam
2021-01-22,42.51,Kiew Kor Ma Dam
2021-01-22,41,Khwae Noi Bamrung Dan Dam
2021-01-22,37.78,Mae Mok Dam
2021-01-23,39.33,Bhumibol Dam
2021-01-23,52.53,Sirikit Dam
2021-01-23,50.25,Mae Ngat Somboon Chon Dam
2021-01-23,37.56,Mae Kuang Udom Thara Dam
2021-01-23,63.16,Kiew Lom Dam
2021-01-23,42.76,Kiew Kor Ma Dam
2021-01-23,40.94,Khwae Noi Bamrung Dan Dam
2021-01-23,37.78,Mae Mok Dam
2021-01-24,39.26,Bhumibol Dam
2021-01-24,52.38,Sirikit Dam
2021-01-24,50.23,Mae Ngat Somboon Chon Dam
2021-01-24,37.2,Mae Kuang Udom Thara Dam
2021-01-24,63.99,Kiew Lom Dam
2021-01-24,42.67,Kiew Kor Ma Dam
2021-01-24,40.8,Khwae Noi Bamrung Dan Dam
2021-01-24,37.78,Mae Mok Dam
2021-01-25,39.21,Bhumibol Dam
2021-01-25,52.22,Sirikit Dam
2021-01-25,50.18,Mae Ngat Somboon Chon Dam
2021-01-25,36.95,Mae Kuang Udom Thara Dam
2021-01-25,62.94,Kiew Lom Dam
2021-01-25,42.48,Kiew Kor Ma Dam
2021-01-25,40.68,Khwae Noi Bamrung Dan Dam
2021-01-25,37.71,Mae Mok Dam
2021-01-26,39.15,Bhumibol Dam
2021-01-26,52.08,Sirikit Dam
2021-01-26,50.09,Mae Ngat Somboon Chon Dam
2021-01-26,36.74,Mae Kuang Udom Thara Dam
2021-01-26,62.94,Kiew Lom Dam
2021-01-26,42.38,Kiew Kor Ma Dam
2021-01-26,40.63,Khwae Noi Bamrung Dan Dam
2021-01-26,37.71,Mae Mok Dam
2021-01-27,39.07,Bhumibol Dam
2021-01-27,51.95,Sirikit Dam
2021-01-27,49.99,Mae Ngat Somboon Chon Dam
2021-01-27,36.52,Mae Kuang Udom Thara Dam
2021-01-27,62.71,Kiew Lom Dam
2021-01-27,42.24,Kiew Kor Ma Dam
2021-01-27,40.48,Khwae Noi Bamrung Dan Dam
2021-01-27,37.71,Mae Mok Dam
2021-01-28,39.04,Bhumibol Dam
2021-01-28,51.81,Sirikit Dam
2021-01-28,49.89,Mae Ngat Somboon Chon Dam
2021-01-28,36.21,Mae Kuang Udom Thara Dam
2021-01-28,62.37,Kiew Lom Dam
2021-01-28,42.14,Kiew Kor Ma Dam
2021-01-28,37.64,Mae Mok Dam
2021-01-29,38.98,Bhumibol Dam
2021-01-29,51.67,Sirikit Dam
2021-01-29,49.63,Mae Ngat Somboon Chon Dam
2021-01-29,35.91,Mae Kuang Udom Thara Dam
2021-01-29,61.92,Kiew Lom Dam
2021-01-29,41.95,Kiew Kor Ma Dam
2021-01-29,40.37,Khwae Noi Bamrung Dan Dam
2021-01-29,37.64,Mae Mok Dam
