province,district,subdistrict,moo,Situation_Date,End Disaster Date,,,
จังหวัด,อำเภอ,ตำบล,หมู่ที่,วันที่เกิดสถานการณ์,วันที่ประกาศยุติสถานการณ์,,,
กระบี่,เมืองกระบี่,ทับปริก,1,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ทับปริก,2,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ทับปริก,3,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ทับปริก,4,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ทับปริก,5,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ทับปริก,6,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ทับปริก,7,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ทับปริก,8,20-ต.ค.-65,20-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ไสไทย,1,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,1,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,2,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,2,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,3,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,3,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,4,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,4,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,6,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,6,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,7,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,7,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ไสไทย,3,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ไสไทย,4,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ไสไทย,5,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ไสไทย,6,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,ไสไทย,2,3-พ.ย.-65,4-พ.ย.-65,,,
กระบี่,เมืองกระบี่,หนองทะเล,1,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,หนองทะเล,2,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,หนองทะเล,3,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,หนองทะเล,4,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,หนองทะเล,5,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,หนองทะเล,6,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,หนองทะเล,7,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,อ่าวนาง,1,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,อ่าวนาง,2,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,อ่าวนาง,3,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,อ่าวนาง,4,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,อ่าวนาง,5,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,อ่าวนาง,7,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,,,12-พ.ค.-65,23-พ.ค.-65,,,
กระบี่,อ่าวลึก,เขาใหญ่,1,26-ส.ค.-65,,,,
กระบี่,อ่าวลึก,อ่าวลึกใต้,6,26-ส.ค.-65,,,,
กระบี่ รวม,5,25,118,,,,,
กรุงเทพมหานคร,คลองเตย,แขวงคลองเตย,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,คลองเตย,แขวงพระโขนง,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,คลองสามวา,แขวงทรายกองดิน,,8-ก.ย.-65,24-พ.ย.-65,,,
กรุงเทพมหานคร,คลองสามวา,แขวงทรายกองดินใต้,,8-ก.ย.-65,24-พ.ย.-65,,,
